4452 東証1部 花王(株)（化学）,,,,,
"2019-07-09","8308","8343","8249","8277","887800","8277"
"2019-07-10","8230","8305","8202","8275","1167000","8275"
"2019-07-11","8265","8318","8220","8303","892000","8303"
"2019-07-12","8302","8357","8258","8302","917300","8302"
"2019-07-16","8230","8252","8137","8166","1202700","8166"
"2019-07-17","8215","8246","8127","8210","1085300","8210"
"2019-07-18","8198","8289","8054","8079","1409500","8079"
"2019-07-19","8112","8262","8102","8258","927200","8258"
"2019-07-22","8201","8226","8130","8194","876500","8194"
"2019-07-23","8139","8267","8116","8233","808200","8233"
"2019-07-24","8247","8273","8191","8273","840400","8273"
"2019-07-25","8238","8318","8233","8244","816800","8244"
"2019-07-26","8244","8262","8207","8223","829000","8223"
"2019-07-29","8240","8329","8209","8300","1257200","8300"
"2019-07-30","8295","8334","8171","8194","1342200","8194"
"2019-07-31","8139","8170","7970","7979","2369200","7979"
"2019-08-01","7841","7850","7633","7709","2998800","7709"
"2019-08-02","7672","7862","7577","7806","2972700","7806"
"2019-08-05","7724","7789","7600","7718","1528400","7718"
"2019-08-06","7540","7642","7488","7580","1551400","7580"
"2019-08-07","7662","7820","7630","7787","1885000","7787"
"2019-08-08","7756","7880","7750","7856","1367500","7856"
"2019-08-09","7900","7916","7738","7765","1611700","7765"
"2019-08-13","7756","7859","7741","7773","1522300","7773"
"2019-08-14","7804","7816","7718","7745","968200","7745"
