2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","3290","3320","3255","3260","729700","1630"
"2017-01-05","3245","3310","3210","3300","476400","1650"
"2017-01-06","3280","3395","3280","3385","693600","1692.5"
"2017-01-10","3385","3425","3355","3360","675800","1680"
"2017-01-11","3365","3380","3310","3315","394500","1657.5"
"2017-01-12","3325","3365","3305","3330","531600","1665"
"2017-01-13","3340","3410","3340","3390","557100","1695"
"2017-01-16","3390","3415","3375","3400","497400","1700"
"2017-01-17","3405","3415","3360","3365","466300","1682.5"
"2017-01-18","3330","3375","3315","3355","432100","1677.5"
"2017-01-19","3355","3400","3355","3380","367900","1690"
"2017-01-20","3410","3415","3365","3375","404700","1687.5"
"2017-01-23","3355","3385","3350","3355","441000","1677.5"
"2017-01-24","3375","3425","3370","3400","502400","1700"
"2017-01-25","3450","3470","3425","3455","572100","1727.5"
"2017-01-26","3480","3495","3460","3495","539600","1747.5"
"2017-01-27","3500","3520","3475","3500","535900","1750"
"2017-01-30","3570","3575","3515","3575","817300","1787.5"
"2017-01-31","3250","3340","3185","3285","2352600","1642.5"
"2017-02-01","3245","3325","3190","3325","902300","1662.5"
"2017-02-02","3330","3425","3325","3370","1339700","1685"
"2017-02-03","3385","3430","3360","3370","687800","1685"
"2017-02-06","3430","3430","3340","3360","528400","1680"
"2017-02-07","3400","3400","3305","3320","511000","1660"
"2017-02-08","3345","3360","3295","3355","363000","1677.5"
"2017-02-09","3350","3415","3345","3380","439800","1690"
"2017-02-10","3430","3460","3400","3430","652800","1715"
"2017-02-13","3475","3480","3440","3465","343200","1732.5"
"2017-02-14","3500","3535","3450","3450","567200","1725"
"2017-02-15","3495","3495","3425","3440","446400","1720"
"2017-02-16","3410","3445","3390","3415","410200","1707.5"
"2017-02-17","3440","3470","3410","3435","392700","1717.5"
"2017-02-20","3410","3450","3405","3435","290400","1717.5"
"2017-02-21","3455","3460","3430","3445","367600","1722.5"
"2017-02-22","3455","3480","3435","3470","306200","1735"
"2017-02-23","3475","3475","3435","3455","315000","1727.5"
"2017-02-24","3430","3485","3430","3460","304100","1730"
"2017-02-27","3425","3465","3420","3445","301400","1722.5"
"2017-02-28","3445","3500","3445","3445","382800","1722.5"
"2017-03-01","3445","3485","3410","3480","334700","1740"
"2017-03-02","3500","3510","3460","3500","303200","1750"
"2017-03-03","3480","3515","3460","3480","301000","1740"
"2017-03-06","3480","3510","3465","3485","244200","1742.5"
"2017-03-07","3495","3500","3470","3495","207500","1747.5"
"2017-03-08","3480","3505","3460","3495","279200","1747.5"
"2017-03-09","3505","3510","3485","3485","299800","1742.5"
"2017-03-10","3500","3535","3490","3525","499000","1762.5"
"2017-03-13","3530","3565","3500","3505","517100","1752.5"
"2017-03-14","3505","3515","3475","3495","295300","1747.5"
"2017-03-15","3495","3510","3475","3495","238400","1747.5"
"2017-03-16","3480","3535","3475","3530","413300","1765"
"2017-03-17","3525","3640","3515","3630","732900","1815"
"2017-03-21","3655","3685","3600","3650","554900","1825"
"2017-03-22","3580","3730","3575","3695","669400","1847.5"
"2017-03-23","3710","3740","3665","3685","597200","1842.5"
"2017-03-24","3685","3745","3680","3700","500300","1850"
"2017-03-27","3690","3705","3650","3670","524200","1835"
"2017-03-28","3690","3725","3675","3710","659700","1855"
"2017-03-29","3730","3735","3680","3690","511900","1845"
"2017-03-30","3670","3705","3610","3635","446800","1817.5"
"2017-03-31","3700","3705","3620","3620","604900","1810"
"2017-04-03","3665","3695","3640","3675","419300","1837.5"
"2017-04-04","3680","3760","3625","3665","640200","1832.5"
"2017-04-05","3695","3725","3650","3690","363500","1845"
"2017-04-06","3705","3705","3620","3630","444100","1815"
"2017-04-07","3700","3745","3650","3730","726600","1865"
"2017-04-10","3800","3835","3730","3770","558000","1885"
"2017-04-11","3800","3800","3725","3755","410300","1877.5"
"2017-04-12","3740","3745","3680","3710","391400","1855"
"2017-04-13","3640","3715","3630","3700","438700","1850"
"2017-04-14","3705","3715","3640","3650","336100","1825"
"2017-04-17","3605","3750","3595","3750","357000","1875"
"2017-04-18","3810","3830","3730","3775","414100","1887.5"
"2017-04-19","3735","3825","3735","3780","422700","1890"
"2017-04-20","3780","3790","3715","3730","297500","1865"
"2017-04-21","3735","3750","3715","3740","283900","1870"
"2017-04-24","3795","3810","3730","3760","352600","1880"
