2127 東証1部 (株)日本Ｍ＆Ａセンター（サービス業）,,,,,
"2017-04-25","3750","3755","3725","3745","292100","1872.5"
"2017-04-26","3765","3795","3740","3785","292300","1892.5"
"2017-04-27","3770","3845","3770","3820","470600","1910"
"2017-04-28","3845","3845","3790","3810","298400","1905"
"2017-05-01","3745","3870","3745","3860","555800","1930"
"2017-05-02","3870","3940","3835","3910","627400","1955"
"2017-05-08","4000","4035","3965","4020","633300","2010"
"2017-05-09","3980","3995","3925","3940","572800","1970"
"2017-05-10","3945","3990","3940","3985","327500","1992.5"
"2017-05-11","3990","4065","3965","4055","644800","2027.5"
"2017-05-12","4060","4160","4055","4155","835800","2077.5"
"2017-05-15","4210","4225","4130","4200","520100","2100"
"2017-05-16","4200","4215","4170","4200","462900","2100"
"2017-05-17","4200","4295","4200","4260","557700","2130"
"2017-05-18","4215","4320","4205","4315","679500","2157.5"
"2017-05-19","4315","4325","4190","4200","688000","2100"
"2017-05-22","4245","4270","4225","4270","408300","2135"
"2017-05-23","4280","4350","4280","4320","392800","2160"
"2017-05-24","4370","4385","4330","4370","562600","2185"
"2017-05-25","4375","4435","4370","4405","431700","2202.5"
"2017-05-26","4430","4435","4325","4360","512000","2180"
"2017-05-29","4315","4390","4315","4370","392700","2185"
"2017-05-30","4375","4405","4340","4375","265900","2187.5"
"2017-05-31","4345","4420","4345","4375","342800","2187.5"
"2017-06-01","4375","4395","4365","4390","494300","2195"
"2017-06-02","4400","4470","4390","4460","622800","2230"
"2017-06-05","4455","4535","4455","4525","466800","2262.5"
"2017-06-06","4530","4545","4440","4445","535400","2222.5"
"2017-06-07","4445","4460","4425","4445","291000","2222.5"
"2017-06-08","4440","4455","4375","4380","354000","2190"
"2017-06-09","4330","4355","4285","4290","541400","2145"
"2017-06-12","4240","4275","4145","4265","516100","2132.5"
"2017-06-13","4230","4285","4210","4270","359600","2135"
"2017-06-14","4310","4320","4195","4215","492700","2107.5"
"2017-06-15","4165","4260","4155","4250","368700","2125"
"2017-06-16","4265","4270","4170","4185","392400","2092.5"
"2017-06-19","4200","4300","4200","4290","328200","2145"
"2017-06-20","4360","4370","4315","4330","283500","2165"
"2017-06-21","4360","4425","4350","4385","432400","2192.5"
"2017-06-22","4370","4390","4335","4375","270700","2187.5"
"2017-06-23","4375","4385","4290","4320","340400","2160"
"2017-06-26","4295","4345","4285","4330","253400","2165"
"2017-06-27","4330","4340","4270","4300","244500","2150"
"2017-06-28","4275","4295","4135","4140","658400","2070"
"2017-06-29","4185","4220","4120","4175","388500","2087.5"
"2017-06-30","4145","4145","4100","4110","343900","2055"
"2017-07-03","4165","4180","4110","4135","310900","2067.5"
"2017-07-04","4135","4145","3995","4020","603900","2010"
"2017-07-05","4020","4065","3940","4030","685600","2015"
"2017-07-06","4040","4080","4040","4070","389900","2035"
"2017-07-07","4035","4065","3990","4055","323600","2027.5"
"2017-07-10","4055","4065","4005","4065","461500","2032.5"
"2017-07-11","4065","4125","4040","4115","330500","2057.5"
"2017-07-12","4160","4215","4155","4155","565800","2077.5"
"2017-07-13","4195","4225","4180","4200","380800","2100"
"2017-07-14","4220","4230","4195","4205","255300","2102.5"
"2017-07-18","4235","4270","4215","4235","321900","2117.5"
"2017-07-19","4245","4335","4245","4320","430100","2160"
"2017-07-20","4390","4390","4320","4360","503700","2180"
"2017-07-21","4360","4395","4355","4370","312900","2185"
"2017-07-24","4425","4485","4365","4420","698900","2210"
"2017-07-25","4420","4440","4375","4435","474200","2217.5"
"2017-07-26","4425","4425","4370","4385","302000","2192.5"
"2017-07-27","4410","4450","4395","4415","376100","2207.5"
"2017-07-28","4440","4440","4380","4420","356700","2210"
"2017-07-31","4395","4525","4385","4425","723400","2212.5"
"2017-08-01","4440","4485","4400","4485","402100","2242.5"
"2017-08-02","4500","4540","4470","4490","389300","2245"
"2017-08-03","4480","4530","4440","4530","373300","2265"
"2017-08-04","4525","4645","4485","4640","607300","2320"
"2017-08-07","4710","4710","4650","4675","378800","2337.5"
"2017-08-08","4675","4755","4675","4740","388800","2370"
"2017-08-09","4745","4750","4660","4735","450700","2367.5"
"2017-08-10","4755","4840","4750","4840","453300","2420"
"2017-08-14","4775","4800","4725","4745","554700","2372.5"
"2017-08-15","4800","4865","4795","4855","521400","2427.5"
"2017-08-16","4940","4940","4885","4900","416300","2450"
"2017-08-17","4895","4930","4855","4925","335500","2462.5"
"2017-08-18","4855","4935","4830","4935","442700","2467.5"
"2017-08-21","4930","4990","4920","4970","483300","2485"
"2017-08-22","4975","4995","4925","4935","410300","2467.5"
"2017-08-23","4970","5080","4960","5070","576400","2535"
"2017-08-24","5050","5100","5010","5070","338900","2535"
"2017-08-25","5150","5190","5110","5170","602400","2585"
"2017-08-28","5200","5270","5200","5260","419600","2630"
"2017-08-29","5200","5420","5180","5410","600300","2705"
"2017-08-30","5440","5450","5140","5180","1026800","2590"
"2017-08-31","5080","5150","5020","5090","953400","2545"
"2017-09-01","5080","5090","4990","5060","688200","2530"
"2017-09-04","5010","5090","5000","5080","376100","2540"
"2017-09-05","5100","5120","5000","5020","340200","2510"
"2017-09-06","5000","5120","4965","5100","479300","2550"
"2017-09-07","5160","5280","5140","5230","654100","2615"
"2017-09-08","5280","5300","5150","5170","447100","2585"
"2017-09-11","5250","5270","5180","5230","386700","2615"
"2017-09-12","5230","5270","5190","5240","344900","2620"
"2017-09-13","5240","5310","5180","5310","402300","2655"
"2017-09-14","5330","5370","5290","5330","440300","2665"
"2017-09-15","5320","5430","5320","5430","621400","2715"
"2017-09-19","5410","5410","5280","5410","402800","2705"
"2017-09-20","5320","5350","5200","5230","659500","2615"
"2017-09-21","5230","5240","5130","5180","548500","2590"
"2017-09-22","5220","5270","5150","5200","340500","2600"
"2017-09-25","5230","5260","5220","5260","221500","2630"
"2017-09-26","5240","5270","5220","5260","213600","2630"
"2017-09-27","5250","5260","5200","5220","152000","2610"
"2017-09-28","5250","5380","5200","5370","346500","2685"
"2017-09-29","5390","5520","5380","5500","589700","2750"
"2017-10-02","5570","5600","5430","5480","399800","2740"
"2017-10-03","5470","5560","5470","5530","319900","2765"
"2017-10-04","5530","5530","5350","5390","568100","2695"
"2017-10-05","5410","5460","5400","5430","202600","2715"
"2017-10-06","5450","5450","5390","5440","248200","2720"
"2017-10-10","5410","5480","5390","5430","507400","2715"
"2017-10-11","5460","5550","5450","5510","387000","2755"
"2017-10-12","5550","5640","5530","5580","481200","2790"
"2017-10-13","5580","5730","5540","5690","585400","2845"
"2017-10-16","5670","5740","5610","5630","396400","2815"
"2017-10-17","5730","5730","5460","5550","897100","2775"
"2017-10-18","5500","5560","5420","5440","609500","2720"
"2017-10-19","5400","5430","5340","5420","787700","2710"
"2017-10-20","5400","5500","5400","5500","415400","2750"
"2017-10-23","5510","5520","5260","5320","1015500","2660"
"2017-10-24","5330","5400","5320","5350","546400","2675"
"2017-10-25","5380","5400","5340","5390","374400","2695"
"2017-10-26","5380","5460","5350","5450","354400","2725"
"2017-10-27","5460","5500","5420","5490","370700","2745"
"2017-10-30","5500","5500","5410","5490","767300","2745"
"2017-10-31","5500","5570","5380","5410","525700","2705"
"2017-11-01","5510","5520","5460","5490","503900","2745"
"2017-11-02","5490","5530","5390","5390","458100","2695"
"2017-11-06","5490","5650","5460","5570","825500","2785"
"2017-11-07","5480","5490","5420","5470","529000","2735"
"2017-11-08","5520","5540","5400","5430","384800","2715"
"2017-11-09","5460","5600","5450","5510","710400","2755"
"2017-11-10","5460","5570","5460","5530","310000","2765"
"2017-11-13","5550","5590","5510","5520","400300","2760"
"2017-11-14","5520","5550","5500","5520","377200","2760"
"2017-11-15","5510","5510","5300","5300","650900","2650"
"2017-11-16","5240","5460","5220","5410","367500","2705"
"2017-11-17","5410","5520","5410","5500","492200","2750"
"2017-11-20","5470","5550","5460","5530","279900","2765"
"2017-11-21","5480","5510","5430","5480","395100","2740"
"2017-11-22","5570","5570","5460","5480","282600","2740"
"2017-11-24","5470","5580","5460","5560","351000","2780"
"2017-11-27","5610","5650","5530","5550","459200","2775"
"2017-11-28","5570","5570","5480","5520","411400","2760"
"2017-11-29","5550","5620","5520","5590","476100","2795"
"2017-11-30","5610","5610","5540","5610","542300","2805"
"2017-12-01","5580","5590","5470","5500","466700","2750"
"2017-12-04","5510","5610","5480","5480","381000","2740"
"2017-12-05","5480","5500","5360","5410","404000","2705"
"2017-12-06","5420","5490","5350","5370","368100","2685"
"2017-12-07","5400","5540","5390","5520","385800","2760"
"2017-12-08","5440","5590","5440","5550","558600","2775"
"2017-12-11","5590","5610","5550","5590","344600","2795"
"2017-12-12","5580","5580","5490","5530","232000","2765"
"2017-12-13","5540","5570","5500","5530","187500","2765"
"2017-12-14","5550","5610","5530","5570","371600","2785"
"2017-12-15","5610","5630","5480","5580","517800","2790"
"2017-12-18","5560","5570","5510","5550","355900","2775"
"2017-12-19","5540","5550","5470","5480","363900","2740"
"2017-12-20","5460","5470","5330","5370","564200","2685"
"2017-12-21","5390","5410","5350","5400","269700","2700"
"2017-12-22","5440","5440","5390","5420","217600","2710"
"2017-12-25","5460","5510","5450","5500","275100","2750"
"2017-12-26","5520","5520","5480","5490","231700","2745"
"2017-12-27","5490","5510","5460","5490","164800","2745"
"2017-12-28","5490","5500","5450","5460","209200","2730"
"2017-12-29","5470","5490","5370","5370","311700","2685"
